Supplier_ID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
"后车窗导向条 Window guide rail, rear _ 6732 _ F49",1,15,8,4,0.6,0.53,0.4,10,70,8,10,0,10,4,6,8,0,1.05,0.24,1.06,0.00,496.87,3679.67
前门窗导轨外封条 Front door outer waist rail _ 6732 _ F49,1,12,8,8,0.8,0.29,0,8,104,8,4,10,8,6,4,8,8,0.48,0.09,1.02,0.00,93.98,574.64
"后保险杠 Bumper panel, rear, 1-part, complete _ 6732 _ F35",1,7,4,4,0.6,0.77,0.8,8,224,8,6,6,4,4,10,4,8,1.31,0.89,1.02,0.00,1397.18,23096.47
"后车窗导向条 Window guide rail, rear _ 6732 _ F35",1,1,8,4,0.8,0.76,0,10,79,0,8,0,6,0,4,4,8,0.28,0.03,1.02,0.00,88.06,507.18
后门窗导轨外封条 Rear door outer waist rail _ 6732 _ F49,1,17,0,8,0,0.71,0.6,8,130,4,4,10,4,0,10,0,0,0.47,0.10,1.01,0.00,75.84,594.89
"外部侧柱导水槽 Side frame, outer, water channel _ 6732 _ F35",1,1,0,10,0.8,0.41,0.6,0,119,10,8,6,8,4,8,6,10,0.40,0.06,1.02,0.00,151.94,1094.58
"后部座椅靠背 Rear seat, backrest _ 6732 _ F49",1,18,8,8,0.8,0.79,0.4,0,550,8,4,4,6,8,8,10,8,0.49,0.09,1.00,0.00,135.49,912.92
"前车窗导向条 Window guide, front _ 6732 _ F49",1,8,10,8,0.6,0.96,0.4,10,72,10,10,10,4,10,10,8,8,0.67,0.21,1.05,0.00,209.92,2635.94
"后保险杠 Bumper panel, rear, 1-part, complete _ 6732 _ F30",1,18,8,0,0,0.06,1,8,265,6,10,8,8,4,10,0,0,2.80,4.17,1.03,0.00,310.66,3564.27
"后部座椅座垫 Rear seat, seat cushion/backrest, padded _ 6732 _ F49",1,19,8,8,0,0.36,0.8,10,502,8,10,10,0,0,4,10,4,0.31,0.07,1.00,0.00,42.34,991.39
后门窗导轨外封条 Rear door outer waist rail _ 6732 _ F52,1,11,0,0,0.6,0.77,1,10,105,8,6,8,0,4,8,4,4,1.08,0.80,1.03,0.00,89.45,1376.35
"后部座椅靠背 Rear seat, backrest _ 6732 _ F30",1,2,6,0,1,0.59,0.8,4,495,8,6,10,6,10,4,8,0,0.93,0.67,1.00,0.00,34.36,328.28
"侧围尾灯 Wing, Rear light _ 6732 _ F49",1,10,8,10,0.8,0.30,0.6,8,125,10,4,0,8,10,8,8,8,0.25,0.05,1.03,0.01,44.19,701.62
后门窗导轨外封条 Rear door outer waist rail _ 6732 _ F35,1,13,4,8,0.8,0.65,1,6,99,10,6,10,4,10,6,0,8,0.18,0.02,1.01,0.00,38.76,566.28
大灯 Headlight _ 6742 _ F49,0,6,6,4,0.8,0.28,0.6,8,1249,4,6,6,0,6,10,10,6,0.38,0.18,1.01,0.00,81.91,666.21
"后保险杠 Bumper panel, rear, 1-part, complete _ 6732 _ F52",1,17,6,10,0.8,0.82,0.8,8,234,10,4,8,6,0,6,10,10,1.43,3.57,1.01,0.00,121.23,3276.77
大灯 Headlight _ 6742 _ F35,0,12,10,10,0.6,0.99,0.4,10,1104,10,6,4,10,6,8,4,6,0.21,0.05,1.01,0.14,38.29,971.61
车顶内饰板 Headliner _ 6732 _ F49,1,19,4,0,0.6,0.23,0.6,0,171,4,0,4,8,6,6,6,6,0.31,0.07,1.01,0.00,54.23,580.42
"侧围尾灯 Wing, Rear light _ 6732 _ F35",1,14,6,8,0.8,0.98,0.6,8,148,0,10,8,0,8,8,4,6,0.17,0.03,1.03,0.00,35.85,358.88
前门窗导轨外封条 Front door outer waist rail _ 6732 _ F35,1,5,10,6,0,0.53,0,0,134,8,6,8,8,6,10,6,0,0.26,0.06,1.01,0.00,70.88,995.06
"后部座椅座垫 Rear seat, seat cushion/backrest, padded _ 6732 _ F30",1,3,0,8,0,1.00,0,10,560,6,8,6,8,6,0,8,6,0.84,0.70,1.02,0.10,22.71,131.01
"前门窗框外盖板 Window frame trim, front, outer _ 6732 _ F49",1,14,6,8,1,0.02,0,8,148,6,10,10,8,8,8,8,4,0.86,9.27,1.05,0.06,287.52,47625.14
"后窗框盖板 Rear window frame, cover _ 6732 _ F49",1,12,0,6,0.8,0.10,0.4,10,86,6,6,4,0,6,10,4,4,0.19,0.05,1.01,0.00,23.89,343.00
外后视镜 Exterior mirror _ 6742 _ F35,0,3,4,4,1,0.80,0,0,401,6,4,10,0,6,10,10,10,0.16,0.03,1.02,0.11,28.56,419.68
车顶内饰板 Headliner _ 6732 _ F52,1,6,10,4,0.8,0.05,0.4,0,155,10,8,6,8,6,4,4,4,0.52,0.37,1.01,0.00,27.15,417.77
"前保险杠 Bumper panel, front _ 6732 _ F49",1,6,4,8,0.8,0.38,0.6,4,362,4,0,4,0,0,6,6,8,0.18,0.04,1.00,0.00,24.10,301.45
"前保险杠 Bumper panel, front _ 6732 _ F52",1,7,6,8,0.6,0.95,0,4,300,10,0,8,4,10,4,0,4,0.59,0.93,1.02,0.00,30.98,280.21
