Supplier_ID,M1_sr,M2_sr,M3_sr,M4_sr,M5_sr,M6_sr,M1_pi,M2_pi,M3_pi,M4_pi,M5_pi,M6_pi,M1_sw,M2_sw,M3_sw,M4_sw,M5_sw,M6_sw,M1_sqc,M2_sqc,M3_sqc,M4_sqc,M5_sqc,M6_sqc
A_{01},0.6623434191600093,0.6675697865353037,0.6555772994129156,0.7489390497323094,0.7132052119082674,0.545290981228345,0.7632654400226794,0.39916360864427625,0.7370078740157481,0.7118766327930485,0.7689128411534243,0.8294520750326858,0.36088547120746656,0.2749999999999999,0.3942731277533038,0.4251220156861296,0.42450598336196976,0.016230959302632537,0.6260790083684598,0.7624117012062938,0.14488348530901732,0.4011689420539491,0.7063813896527761,0.6486367371719616
A_{02},0.8347888178133925,0.8371856365050558,0.8454011741682974,0.8644693851032416,0.8524431942143661,0.7124986056993557,0.5943577118941287,0.21200453497272753,0.44881889763779564,0.45833825983630494,0.5528866387178406,0.6597892378425686,0.5754175311839421,0.5750000000000001,0.5341409691629957,0.6302694666915135,0.621045835844217,0.5305481189121009,0.8882964436640034,0.9280590532176343,0.28470111448834856,0.8895599730732736,0.9200185599216303,0.8969080606933575
A_{03},0.34929359266734267,0.4634387693371359,0.3385518590998041,0.48920741586300526,0.4353493427213152,0.38863560310873946,0.8356788176353038,0.6163212730639751,0.6582677165354334,0.8286997693176952,0.8084962125762045,0.9062357170377716,0.44700969306474686,0.5,0.41740088105726897,0.5234250648675034,0.49807763286859236,0.49803728234803624,0.13999867559539497,0.4888136581508389,0.12765957446808507,0.06767027152902615,0.21166018056080915,0.007512460142229372
A_{04},0.41716646873465085,0.37996715927750413,0.46575342465753383,0.5580854384028163,0.520724725132018,-0,0.5880565886582486,0.18553627737472245,0.5385826771653547,0.43193564163643117,0.5571555523372272,0.6597892378425686,0.24129460022208896,0.17499999999999993,0.24339207048458134,0.27825951244828995,0.2733962141260538,0.0196271765196383,0.9235733472673646,0.9487643662146613,0.38500506585612965,0.9325963717119574,0.9448637154108532,0.9397564800300046
A_{05},0.3559822085554958,0.30738916256157633,0.4520547945205474,0.4587834740934849,0.42358533581523705,0.07728236062263383,0.7482883043794555,0.4105195349082895,0.5212598425196854,0.6690828548277294,0.701448315242582,0.8321073383642767,0.21609828414971005,0.1499999999999999,0.23237885462555058,0.2163845635174335,0.2263112625357588,0.016230959302632537,0.8957477311890173,0.9378788558425266,0.32826747720364746,0.9051201094502273,0.9263270681866572,0.8992645244618884
A_{06},0.3613106184365589,0.33940886699507383,0.463796477495107,0.4791115012830353,0.4534040037083471,-0,0.6162322924060601,0.23732311439974185,0.49763779527559077,0.5229558333730936,0.5843163798228882,0.6744357637544931,0.6151397994548117,0.6,0.578193832599119,0.681254723188971,0.6557053519329897,0.5098135882598192,0.8746444086640226,0.9231005251647202,0.2826747720364742,0.8733692788400484,0.9072336984771994,0.8942665723130414
A_{07},1,1,0.9315068493150683,0.9723299870626696,0.9626834342938326,1,0.41319957569189236,0.30110740952921977,0.3086614173228347,0.36902982720443783,0.39399131632486367,0.618008552399417,0.5669646586675929,0.5750000000000001,0.5385462555066081,0.6340698856339989,0.6168431193319819,0.5248944872332852,0.8698847922444961,0.9303846991429431,0.37689969604863227,0.8754504706274008,0.9044944971164802,0.8945515969248266
A_{08},0.68677570841389,0.7004213119004408,0.7495107632093932,0.7951250229002627,0.7796374019593804,0.4534082036268627,0.8634970568870789,0.5209780280678943,0.9118110236220472,0.9143181079923597,0.9301269513616137,0.8294520750326858,0.7548920146206031,0.7250000000000001,0.8171806167400884,0.8566382267828487,0.8431035347542739,0.49803728234803624,0.8037718155895398,0.8587403388663865,0.1773049645390071,0.7117324770041329,0.8414195373129933,0.85213524909127
A_{09},0.3736444104130417,0.3180623973727422,0.4735812133072402,0.4768868223795204,0.4444737494504894,0.0883653621510141,0.5818084691946117,0.37867448675511506,0.39527559055118117,0.5690102640695414,0.5959433465314391,0.6044172609116633,0.3824276681348935,0.30000000000000004,0.4515418502202644,0.464992003878955,0.45903335713391674,0.016230959302632537,0.3607843580160921,0.5550026904626411,0.1063829787234042,0.14849935104853246,0.4217786641264495,0.35020846639418596
A_{10},0.5927745871710408,0.49096880131362886,0.7299412915851272,0.7426876148144864,0.7220698473370524,0.0894043019273044,0.5427393076838158,0.7780148834311187,0.5291338582677165,0.5994745911467306,0.6090521231801781,0.6604469079289907,0.35105325767804363,0.275,0.4008810572687224,0.4124188149738976,0.41898907564760884,-0,0.9335360443947504,0.9628169172392566,0.4397163120567377,0.9512488756910887,0.9505489799677173,0.9369679447583831
A_{11},0.2026632764669481,0.20279146141215104,0.2563600782778863,0.29540900839731776,0.2483625914233038,0.07728236062263383,0.9480867739285195,0.58833816318408,0.9480314960629922,0.9469400583145533,0.9538893215677994,0.9666147498833662,0.29047146944542385,0.2250000000000001,0.2621145374449338,0.36315379601476727,0.34228661308105585,-0,0.7649935897724126,0.8466476652891558,0.1469098277608916,0.6858106494337856,0.8236023725517364,0.7555202345815027
A_{12},0.331430990733099,0.30952380952380953,0.4109589041095887,0.4387715354477637,0.40879903507727766,0.06477260051812324,0.5300421626149683,0.7415658443765796,0.4488188976377956,0.5406635510125355,0.5437265639166707,0.6666358347770536,0.4612998649232074,0.3500000000000001,0.4900881057268725,0.5416964322861951,0.5408986414243604,0.016230959302632537,0.8050651035147818,0.8967952403462974,0.37689969604863244,0.7731872684194473,0.8713790015641883,0.7908671911094663
A_{13},0.8110603308050349,0.8093617664851784,0.8806262230919764,0.8811356729076567,0.8805021286562068,0.5829534046631092,0.7134485491717776,0.4403286112535627,0.5905511811023625,0.6918247722637333,0.7266317030812582,0.726850214930267,0.4995637701952637,0.375,0.5363436123348019,0.5909564828737757,0.5811386237605557,0.04476200814208164,0.945348776482544,0.9008398614535404,0.2522796352583587,0.9415348682746457,0.9562217487507476,0.9511067273695684
A_{14},0.6838814222390979,0.6867816091954023,0.7005870841487277,0.7664582277037975,0.739947685146614,0.5386411803113169,0.8610280866220862,0.5225203123145714,0.8629921259842521,0.8704543421147238,0.8813013342931372,0.9053982728740644,0.4647499303892512,0.3500000000000001,0.5066079295154186,0.5560295605311792,0.5425176452176411,0.05314870437625168,0.960432005445861,0.972361393358235,0.48733535967578534,0.9693273600916071,0.9700006368296831,0.9676019737492847
A_{15},0.290520467292407,0.189983579638752,0.28375733855185875,0.2904364113516027,0.31144867271898236,0.3238630025906162,0,0.6553915248140861,0.19055118110236213,0.17963919353557065,0.05522598878928458,-0,0.45260421969758496,0.35,0.49669603524229083,0.5490506006623914,0.5325157613994038,-0,0.9083066817744888,0.9423128556291233,0.3373860182370821,0.9199214497393137,0.9293799396337487,0.9204726983786666
A_{16},0.9195296285316537,0.89995894909688,0.9158512720156555,0.9534363051816759,0.9436813008750864,0.7693205901556586,0.8583829832408537,0.6721797498584543,0.7275590551181105,0.8962556955844879,0.8622874475005372,0.8973943929691104,0.4596441933889781,0.3500000000000001,0.4790748898678415,0.5451313859994896,0.5398163151012031,0.0196271765196383,0.572086135302455,0.7392938700937832,0.1854103343465046,0.3655140621105467,0.6442289143108612,0.6378457576721964
A_{17},0.6273403752620549,0.41625615763546797,0.7221135029354203,0.6237513628358964,0.6822280985419282,0.3997241577917372,0.25637841380790505,1,0.6299212598425201,0.5802187717374513,0.4504895104183953,0.1281991989955872,0.49881159620952303,0.525,0.4592511013215861,0.5625264473117055,0.5420938450847005,0.5248944872332852,0.9286948474414384,0.9000381294931492,0.298885511651469,0.9453531096306681,0.9377666286864359,0.942519020811347
A_{18},0.4409845614621341,0.36929392446633824,0.46771037181996056,0.5718337577450079,0.5262184606102559,0.0883653621510141,0.5055492181049449,0.09797736364993093,0.12598425196850382,0.2887767180510867,0.3759996012324824,0.6744357637544931,0.34506387309491726,0.25,0.3171806167400879,0.4018557686546426,0.39017559831849374,0.054184727606774286,0.9318635147416883,0.9567254746878948,0.37791286727456935,0.9445459075183363,0.9501494587090351,0.9369679447583831
A_{19},0.8090434886226646,0.8273809523809523,0.796477495107632,0.84661104044127,0.8237554997003568,0.7693205901556586,0.6718054978574984,0.31351104135875874,0.47559055118110244,0.6313485398075672,0.6768174181465981,0.6642146767285535,0.4563486381081314,0.3500000000000001,0.5022026431718062,0.5560889788013116,0.5351721560346475,-0,0.963986105739871,0.9623246168871727,0.4235055724417426,0.9564414241780592,0.9723342141310289,0.9699584375178156
A_{20},0.37660542553442294,0.34154351395730703,0.4637964774951072,0.4938165471179629,0.4654713805571322,0.0894043019273044,0.5336329623653483,0.11225352519509524,0.30393700787401573,0.32778546954840704,0.4290105945422726,0.6597892378425686,0.4635710902867186,0.3500000000000001,0.497797356828194,0.5466487299438245,0.5360233174653712,0.016230959302632537,0.9321527453046493,0.9563691868801656,0.3748733535967578,0.9464292188561519,0.9468693829200217,0.9487502636010374
A_{21},0.15139153420006857,0.1579638752052545,0.19373776908023474,0.21302179538490087,0.16635810896314818,0.07728236062263383,0.47199404505487685,0.41811736047256143,0.4551181102362205,0.5055537754005094,0.5298911367418415,0.6091672283307558,0.4575220073413179,0.32499999999999996,0.4504405286343613,0.5176527560285277,0.5082629384016246,0.09679224943697613,0.8167861825652584,0.8587951107000503,0.2380952380952382,0.7779907448221733,0.865839911662303,0.8120753650262446
A_{22},0.8525642794018155,0.8679392446633826,0.8845401174168296,0.8958560015950566,0.8885022397761962,0.7693205901556586,0.5052738320556579,0.12936226344243906,0.179527559055118,0.3084079915610361,0.4135670830633819,0.5840117685752293,0.7151009624709815,0.675,0.7092511013215862,0.7844725133045306,0.7686012482171873,0.5077758579296158,0,0,0,0,0,-0
