Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{01},0.6654874920087638,0.674775339609617,0.6659425829256009,0.6623434301160988,0.7016129387552592,0.7359904324974148,0.686895168426047,0.7370055749884369,0.3160028632285611,0.36222847371411193,0.3171806002851424,0.42449868247326505,0.548260200888857,0.5769163950521617,0.5565733024479746,0.41092913175752177
A_{02},0.8244643045738161,0.8315619825117069,0.8283577630541639,0.8347890060828831,0.4876991162687668,0.5069049300581052,0.483725623859853,0.4488197686321246,0.5777368718034104,0.5752836713046074,0.5737203906199594,0.6249614621616748,0.8012571866110462,0.8371373283520941,0.7902927743446229,0.889642767514546
A_{03},0.41074601525749493,0.39874326291158385,0.4084823242439307,0.34929408095168785,0.7756164297546412,0.8144396277252081,0.7747312950573001,0.6582833082936569,0.4806583298896411,0.4647721228662412,0.4763858472655541,0.5099608814894925,0.17388580031934495,0.1778938967389994,0.1858365573723498,0.06874368737093824
A_{04},0.3902827915709832,0.4243996665342442,0.39485708190270913,0.4171671574711298,0.493509230796031,0.4971952816215467,0.4833366002365685,0.5385729208480121,0.20516155473791528,0.2324444436943275,0.20618585070483508,0.2755430077792492,0.8457598760593635,0.877719439410241,0.8357932545477109,0.9324649218583788
A_{05},0.3458461537560937,0.3721563139720932,0.3485771644761915,0.35598345531050496,0.6471175693815256,0.6835249144940279,0.6466487579216585,0.5212733659853437,0.176233952225822,0.20419932699701857,0.1786841678657559,0.2214408576961944,0.8154342799051616,0.8492684696985019,0.8044831017862114,0.9047877736677988
A_{06},0.34950517498481637,0.3773915530849597,0.35435694373274174,0.3613121117774879,0.5221500924232461,0.5523695900232444,0.5167842079276447,0.497640111549781,0.6066844283067215,0.6102555678755306,0.6055699228903071,0.6677280272950219,0.7925481951720803,0.8279793134627946,0.7820332192011992,0.8737224524724184
A_{07},0.9777531835461608,0.975409343088482,0.9820194214399914,0.9999989776477084,0.4006662698791538,0.3820875696985731,0.38605935203735486,0.30866694009240564,0.5760529529021817,0.5741924470772947,0.5724593070822506,0.624744632150363,0.8086109443215009,0.8386360012179472,0.7987320809765303,0.8755933022438971
A_{08},0.6941462636349075,0.7103399965160275,0.6949913679305131,0.6867768002869256,0.8283637087064892,0.9096001133592028,0.8114174626580313,0.9118112530009423,0.7491417965452053,0.786409895459357,0.7482752656060315,0.8494365040975971,0.7075173845004582,0.7445217031489686,0.7043713075379343,0.7163101207421884
A_{09},0.3625022535868586,0.3903658646324408,0.36454465320420254,0.3736456861583422,0.5208547991783316,0.576214243668717,0.5180688233012667,0.39529148450885265,0.34570423753468255,0.3997221271125336,0.34708607655877033,0.46177230873526226,0.32377607904436884,0.339591832864406,0.33968402710037965,0.15723518638561876
A_{10},0.5613076288038976,0.6107700138161694,0.5621358755235384,0.5927762791554727,0.6198101550573127,0.6014209557726126,0.6045843746125963,0.5291402933235445,0.3097236391897125,0.3583769878361658,0.3112411410005996,0.41550972835628514,0.8624724970321931,0.8917888535872838,0.8532632234334704,0.9505633891231766
A_{11},0.2138114201469471,0.22396799394340877,0.21609850641792427,0.20266410539684332,0.8919832493546903,0.9435434920944183,0.8811683877691332,0.9480313962233065,0.2471710200615677,0.27355223382814503,0.24895774303694032,0.3519653723990631,0.67058071132089,0.7072096243563614,0.6648756251814573,0.6889946896250077
