Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{01},0.674119162165301,0.6878636000696595,0.6693686382200912,0.6623440254279483,0.7245363936972362,0.7397127095837387,0.7194622981529495,0.7370027447425863,0.31600292621854664,0.36222847371411193,0.3171806002851424,0.42449868247326505,0.5482602106270167,0.5769163950521617,0.5565733024479746,0.41092913175752177
A_{02},0.8400275481295807,0.8506489726699438,0.8392626185320686,0.8347898194904682,0.4716184212054202,0.5075125266343417,0.4807556900869334,0.44881383704037064,0.5777369869657758,0.5752836713046074,0.5737203906199594,0.6249614621616748,0.8012572008429207,0.8371373283520941,0.7902927743446229,0.889642767514546
A_{03},0.4082706615944015,0.4012704080527864,0.4000529986046543,0.34929428034309906,0.8120333711403929,0.8192285117194605,0.8226621350112355,0.6582796308687506,0.48065842570099215,0.4647721228662412,0.4763858472655541,0.5099608814894925,0.17388580340789248,0.1778938967389994,0.1858365573723498,0.06874368737093824
A_{04},0.3869152176231875,0.42790843758127234,0.38580034899251175,0.41716744270312267,0.47848792766881715,0.4976708643757685,0.48029862104260357,0.5385679551455033,0.20516159563350478,0.2324444436943275,0.20618585070483508,0.2755430077792492,0.8457598910816918,0.877719439410241,0.8357932545477109,0.9324649218583788
A_{05},0.34054109086472795,0.3736662301119242,0.337389360722346,0.35598366316211594,0.6601045670298986,0.6865338626065112,0.672176253589292,0.5212682141116133,0.1762339873551686,0.20419932699701857,0.1786841678657559,0.2214408576961944,0.8154342943888487,0.8492684696985019,0.8044831017862114,0.9047877736677988
A_{06},0.3443596496625275,0.3791017719021247,0.34343528390786743,0.36131232636836863,0.5123510439881531,0.5535953308678144,0.5195966614891051,0.4976347053439662,0.6066845492393074,0.6102555678755306,0.6055699228903071,0.6677280272950219,0.7925482092492664,0.8279793134627946,0.7820332192011992,0.8737224524724184
A_{07},1,1,1,1,0.36871637030853377,0.3809981309081329,0.36600628451543865,0.30865950022928285,0.5760530677288856,0.5741924470772947,0.5724593070822506,0.624744632150363,0.8086109586839925,0.8386360012179472,0.7987320809765303,0.8755933022438971
A_{08},0.7040274894710004,0.7247889772494406,0.6997550448589586,0.686777426500199,0.8743983679035359,0.9156828134473531,0.8657652026959629,0.9118103039472305,0.74914194587433,0.786409895459357,0.7482752656060315,0.8494365040975971,0.707517397067333,0.7445217031489686,0.7043713075379343,0.7163101207421884
A_{09},0.35792341596481986,0.3925724866288109,0.35409211112684064,0.37364591634776734,0.5108195724007721,0.5777641799651534,0.5211059732275426,0.3952849768660892,0.3457043064451497,0.3997221271125336,0.34708607655877033,0.46177230873526226,0.3237760847952571,0.339591832864406,0.33968402710037965,0.15723518638561876
A_{10},0.5653969361033956,0.6214094008162481,0.5607818996550322,0.5927767864842073,0.6278180332071018,0.60331360626998,0.6227542485267982,0.5291352261106903,0.3097237009280378,0.3583769878361658,0.3112411410005996,0.41550972835628514,0.8624725123513698,0.8917888535872838,0.8532632234334704,0.9505633891231766
