Supplier_ID,SR_L2,SR_L1,SR_LC,SR_ME,PI_L2,PI_L1,PI_LC,PI_ME,SW_L2,SW_L1,SW_LC,SW_ME,SQC_L2,SQC_L1,SQC_LC,SQC_ME
A_{01},0.665,0.675,0.666,0.662,0.702,0.736,0.687,0.737,0.316,0.362,0.317,0.424,0.548,0.577,0.557,0.411
A_{02},0.824,0.832,0.828,0.835,0.488,0.507,0.484,0.449,0.578,0.575,0.574,0.625,0.801,0.837,0.79,0.89
A_{03},0.411,0.399,0.408,0.349,0.776,0.814,0.775,0.658,0.481,0.465,0.476,0.51,0.174,0.178,0.186,0.069
A_{04},0.39,0.424,0.395,0.417,0.494,0.497,0.483,0.539,0.205,0.232,0.206,0.276,0.846,0.878,0.836,0.932
A_{05},0.346,0.372,0.349,0.356,0.647,0.684,0.647,0.521,0.176,0.204,0.179,0.221,0.815,0.849,0.804,0.905
A_{06},0.35,0.377,0.354,0.361,0.522,0.552,0.517,0.498,0.607,0.61,0.606,0.668,0.793,0.828,0.782,0.874
A_{07},0.978,0.975,0.982,1,0.401,0.382,0.386,0.309,0.576,0.574,0.572,0.625,0.809,0.839,0.799,0.876
A_{08},0.694,0.71,0.695,0.687,0.828,0.91,0.811,0.912,0.749,0.786,0.748,0.849,0.708,0.745,0.704,0.716
A_{09},0.363,0.39,0.365,0.374,0.521,0.576,0.518,0.395,0.346,0.4,0.347,0.462,0.324,0.34,0.34,0.157
A_{10},0.561,0.611,0.562,0.593,0.62,0.601,0.605,0.529,0.31,0.358,0.311,0.416,0.862,0.892,0.853,0.951
A_{11},0.214,0.224,0.216,0.203,0.892,0.944,0.881,0.948,0.247,0.274,0.249,0.352,0.671,0.707,0.665,0.689
A_{12},0.327,0.35,0.33,0.331,0.579,0.544,0.572,0.449,0.4,0.457,0.402,0.541,0.752,0.779,0.744,0.774
A_{13},0.808,0.824,0.81,0.811,0.648,0.703,0.643,0.591,0.438,0.499,0.439,0.586,0.825,0.864,0.813,0.942
A_{14},0.686,0.697,0.687,0.684,0.817,0.868,0.802,0.863,0.412,0.469,0.413,0.549,0.888,0.916,0.88,0.969
A_{15},0.282,0.296,0.269,0.291,0.18,0.119,0.181,0.191,0.397,0.455,0.4,0.54,0.826,0.86,0.816,0.92
A_{16},0.9,0.913,0.903,0.92,0.819,0.872,0.815,0.728,0.399,0.453,0.4,0.542,0.524,0.548,0.534,0.375
A_{17},0.579,0.624,0.565,0.627,0.508,0.504,0.494,0.63,0.519,0.507,0.514,0.552,0.826,0.862,0.813,0.945
A_{18},0.411,0.446,0.412,0.441,0.345,0.34,0.353,0.126,0.293,0.325,0.293,0.395,0.85,0.882,0.84,0.944
A_{19},0.812,0.813,0.814,0.809,0.572,0.647,0.57,0.476,0.4,0.459,0.404,0.545,0.875,0.906,0.867,0.957
A_{20},0.372,0.398,0.373,0.377,0.394,0.386,0.397,0.304,0.402,0.459,0.405,0.541,0.851,0.884,0.841,0.946
A_{21},0.16,0.164,0.164,0.151,0.498,0.511,0.476,0.455,0.393,0.439,0.393,0.512,0.728,0.762,0.719,0.78
A_{22},0.86,0.864,0.861,0.853,0.353,0.367,0.362,0.18,0.693,0.715,0.693,0.776,0,0,0,0
A_{23},0.417,0.451,0.42,0.437,0.523,0.554,0.52,0.493,0.25,0.28,0.252,0.351,0.887,0.916,0.879,0.97
A_{24},0.21,0.229,0.206,0.251,0.344,0.31,0.339,0.2,0.48,0.556,0.481,0.65,0.849,0.884,0.839,0.956
A_{25},0.583,0.6,0.583,0.567,0.368,0.386,0.374,0.2,0.454,0.43,0.45,0.477,0.813,0.846,0.802,0.899
A_{26},0.533,0.545,0.534,0.518,0.45,0.402,0.449,0.176,0.115,0.132,0.116,0.152,0.906,0.93,0.899,0.977
A_{27},0.566,0.575,0.567,0.553,0.535,0.584,0.527,0.449,0.209,0.232,0.209,0.275,0.775,0.809,0.765,0.842
A_{28},0.524,0.57,0.525,0.555,0.695,0.741,0.677,0.743,0.316,0.35,0.317,0.433,0.899,0.927,0.892,0.979
A_{29},0.381,0.408,0.37,0.41,0.089,0.006,0.075,0.077,0.292,0.323,0.293,0.396,0.723,0.761,0.702,0.87
A_{30},0.307,0.327,0.309,0.307,0.66,0.724,0.645,0.762,0.373,0.425,0.375,0.506,0.827,0.858,0.816,0.905
A_{31},0.621,0.622,0.619,0.589,0.539,0.548,0.537,0.398,0.469,0.538,0.47,0.624,0.765,0.801,0.755,0.835
A_{32},0.374,0.398,0.361,0.405,0.599,0.637,0.595,0.444,0.421,0.391,0.415,0.436,0.912,0.935,0.906,0.977
A_{33},0.35,0.389,0.349,0.411,0.496,0.52,0.487,0.446,0.523,0.604,0.523,0.691,0.936,0.953,0.932,0.986
A_{34},0.353,0.377,0.354,0.357,0.577,0.556,0.569,0.397,0.375,0.436,0.376,0.5,0.913,0.936,0.906,0.981
A_{35},0.563,0.605,0.564,0.573,0.313,0.284,0.32,0.128,0.431,0.495,0.432,0.581,0.924,0.944,0.918,0.982
A_{36},0.377,0.406,0.378,0.387,0.513,0.554,0.503,0.42,0.386,0.445,0.386,0.513,0.915,0.939,0.909,0.983
A_{37},0.323,0.348,0.325,0.338,0.727,0.783,0.711,0.789,0.114,0.13,0.116,0.155,0.786,0.822,0.776,0.867
A_{38},0.334,0.356,0.323,0.357,0.935,0.993,0.926,1,0.23,0.249,0.228,0.316,0.592,0.63,0.6,0.512
A_{39},0.197,0.205,0.2,0.183,0.333,0.316,0.342,0.162,0.441,0.507,0.441,0.58,0.859,0.887,0.849,0.938
A_{40},0.377,0.405,0.378,0.388,0.434,0.415,0.417,0.304,0.272,0.297,0.27,0.357,0.941,0.957,0.937,0.989
A_{41},0.369,0.397,0.371,0.382,0.735,0.772,0.732,0.633,0.152,0.176,0.153,0.189,0.747,0.784,0.748,0.742
A_{42},0.664,0.674,0.664,0.659,0.845,0.881,0.838,0.868,0.671,0.691,0.67,0.737,0.852,0.88,0.842,0.928
A_{43},0.262,0.296,0.265,0.333,0.573,0.626,0.567,0.545,0.249,0.276,0.251,0.353,0.859,0.884,0.849,0.929
A_{44},0.67,0.726,0.655,0.726,0.644,0.681,0.644,0.509,0.406,0.459,0.405,0.541,0.912,0.936,0.908,0.971
A_{45},0.812,0.813,0.814,0.809,0.288,0.252,0.298,0.082,0.598,0.602,0.594,0.657,0.928,0.947,0.922,0.986
A_{46},0.418,0.447,0.405,0.458,0.511,0.511,0.511,0.313,0.287,0.329,0.289,0.383,0.908,0.932,0.901,0.981
A_{47},0.361,0.387,0.362,0.367,0.488,0.498,0.483,0.485,0.486,0.563,0.487,0.654,0.404,0.405,0.387,0.341
A_{48},0.63,0.65,0.629,0.607,0.539,0.59,0.537,0.499,0.57,0.57,0.567,0.625,0.848,0.875,0.838,0.92
A_{49},0.553,0.575,0.555,0.551,0.595,0.674,0.589,0.515,0.541,0.534,0.538,0.588,0.92,0.942,0.914,0.987
A_{50},0.515,0.554,0.518,0.536,0.465,0.484,0.466,0.38,0.254,0.289,0.256,0.346,0.928,0.947,0.923,0.986
A_{51},0.281,0.312,0.281,0.335,0.553,0.525,0.548,0.353,0.146,0.157,0.145,0.205,0.88,0.903,0.871,0.95
A_{52},0.669,0.707,0.668,0.667,0.46,0.465,0.452,0.361,0.092,0.104,0.092,0.118,0.868,0.887,0.859,0.916
